Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
261710,06/12/2021,6,December,2021,47,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261711,07/12/2021,7,December,2021,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
261712,07/12/2021,7,December,2021,38,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
261713,08/12/2021,8,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
261714,08/12/2021,8,December,2021,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261715,08/12/2021,8,December,2021,39,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261716,08/12/2021,8,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",,$295.00 ,$540.00 ,$245.00 ,$0.00 ,$0.00 
261717,09/12/2021,9,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2,"$1,898.00 ","$3,375.00 ","$2,954.00 ","$3,796.00 ","$6,750.00 "
261718,09/12/2021,9,December,2021,41,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261719,10/12/2021,10,December,2021,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261720,10/12/2021,10,December,2021,40,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261721,10/12/2021,10,December,2021,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261722,10/12/2021,10,December,2021,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
261723,10/12/2021,10,December,2021,34,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,"$1,912.00 ","$3,400.00 ","$1,488.00 ","$1,912.00 ","$3,400.00 "
261724,10/12/2021,10,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261725,11/12/2021,11,December,2021,24,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
261726,11/12/2021,11,December,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
261727,11/12/2021,11,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261728,11/12/2021,11,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
261729,11/12/2021,11,December,2021,38,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261730,12/12/2021,12,December,2021,36,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261731,12/12/2021,12,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
261732,12/12/2021,12,December,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261733,12/12/2021,12,December,2021,35,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261734,12/12/2021,12,December,2021,38,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261735,13/12/2021,13,December,2021,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
261736,13/01/2021,13,January,2021,40,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,$308.00 ,$565.00 ,$257.00 ,$308.00 ,$565.00 
261737,13/01/2021,13,January,2021,44,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261738,13/01/2021,13,January,2021,49,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261739,14/01/2021,14,January,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
261740,14/01/2021,14,January,2021,32,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261741,14/01/2021,14,January,2021,32,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
261742,15/02/2021,15,February,2021,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261743,16/02/2021,16,February,2021,33,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261744,16/02/2021,16,February,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261745,16/03/2021,16,March,2021,27,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261746,17/03/2021,17,March,2021,37,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
261747,17/03/2021,17,March,2021,31,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
261748,17/03/2021,17,March,2021,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261749,18/03/2021,18,March,2021,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
261750,18/03/2021,18,March,2021,38,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261751,18/03/2021,18,March,2021,24,Youth (<25),F,France,Seine Saint Denis,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
261752,18/03/2021,18,March,2021,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
261753,18/03/2021,18,March,2021,39,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
261754,18/04/2021,18,April,2021,26,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261755,18/04/2021,18,April,2021,36,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261756,19/04/2021,19,April,2021,17,Youth (<25),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
261757,19/04/2021,19,April,2021,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",4,$295.00 ,$540.00 ,$980.00 ,"$1,180.00 ","$2,160.00 "
261758,19/04/2021,19,April,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261759,19/05/2021,19,May,2021,35,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-100 Black, 48",4,"$1,898.00 ","$3,375.00 ","$5,908.00 ","$7,592.00 ","$13,500.00 "
261760,19/05/2021,19,May,2021,37,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261761,19/05/2021,19,May,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261762,19/05/2021,19,May,2021,63,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261763,19/05/2021,19,May,2021,18,Youth (<25),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-500 Black, 40",2,$295.00 ,$540.00 ,$490.00 ,$590.00 ,"$1,080.00 "
261764,19/05/2021,19,May,2021,56,Adults (35-64),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
261765,19/05/2021,19,May,2021,39,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261766,20/05/2021,20,May,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",4,"$1,898.00 ","$3,375.00 ","$5,908.00 ","$7,592.00 ","$13,500.00 "
261767,20/06/2021,20,June,2021,57,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261768,20/06/2021,20,June,2021,29,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 52",3,$295.00 ,$540.00 ,$735.00 ,$885.00 ,"$1,620.00 "
261769,20/07/2021,20,July,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261770,20/07/2021,20,July,2021,35,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261771,21/07/2021,21,July,2021,26,Young Adults (25-34),M,France,Somme,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
261772,21/07/2021,21,July,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
261773,22/07/2021,22,July,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
261774,22/08/2021,22,August,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
261775,22/08/2021,22,August,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,$308.00 ,$565.00 ,$257.00 ,$308.00 ,$565.00 
261776,22/08/2021,22,August,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261777,22/08/2021,22,August,2021,27,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261778,22/08/2021,22,August,2021,41,Adults (35-64),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261779,23/08/2021,23,August,2021,30,Young Adults (25-34),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261780,23/08/2021,23,August,2021,31,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261781,23/08/2021,23,August,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
261782,24/08/2021,24,August,2021,38,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 42",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261783,17/08/2021,17,August,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-100 Red, 38",2,"$1,110.00","$2,200.00","$1,820","$2,220","$4,400"
261784,17/08/2021,17,August,2021,28,Young Adults (25-34),F,Canada,Ontario,Bikes,Road Bikes,"Road-300 Silver, 50",3,$880.00,"$1,580.00","$2,100","$2,640","$4,740"
261785,18/09/2021,18,September,2021,33,Young Adults (25-34),M,United Kingdom,London,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,$420.00,$769.00,$349,$420,$769
261786,19/09/2021,19,September,2021,45,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,$295.00,$540.00,$490,$590,"$1,080"
261787,20/09/2021,20,September,2021,29,Young Adults (25-34),F,Germany,Bavaria,Bikes,Mountain Bikes,"Mountain-600 Red, 42",1,"$1,310.00","$2,350.00","$1,040","$1,310","$2,350"
261788,20/09/2021,20,September,2021,35,Adults (35-64),M,United States,Texas,Bikes,Road Bikes,"Road-200 Black, 48",3,$780.00,"$1,400.00","$1,860","$2,340","$4,200"
261789,21/09/2021,21,September,2021,39,Adults (35-64),F,France,Lyon,Bikes,Mountain Bikes,"Mountain-200 Blue, 44",1,"$1,150.00","$2,150.00","$1,000","$1,150","$2,150"
261790,22/09/2021,22,September,2021,42,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-300 Silver, 52",2,$840.00,"$1,580.00","$1,480","$1,680","$3,160"
261791,22/09/2021,22,September,2021,50,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-700 Yellow, 42",4,"$1,210.00","$2,400.00","$4,760","$4,840","$9,600"
261792,23/09/2021,23,September,2021,32,Young Adults (25-34),M,United Kingdom,Manchester,Bikes,Mountain Bikes,"Mountain-300 Black, 46",2,"$1,260.00","$2,390.00","$2,260","$2,520","$4,780"
261793,24/09/2021,24,September,2021,47,Adults (35-64),M,United States,Florida,Bikes,Road Bikes,"Road-100 Blue, 50",2,$900.00,"$1,700.00","$1,600","$1,800","$3,400"
261794,25/09/2021,25,September,2021,24,Young Adults (18-24),F,Canada,Alberta,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,"$1,050.00","$1,980.00",$930,"$1,050","$1,980"
261795,25/09/2021,25,September,2021,30,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-300 Red, 58",3,$790.00,"$1,600.00","$2,430","$2,370","$4,800"
261796,26/09/2021,26,September,2021,39,Adults (35-64),F,Germany,Berlin,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,200.00","$2,300.00","$2,200","$2,400","$4,600"
261797,26/09/2021,26,September,2021,53,Adults (35-64),M,United States,New York,Bikes,Road Bikes,"Road-200 Blue, 60",1,$820.00,"$1,550.00",$730,$820,"$1,550"
261798,27/09/2021,27,September,2021,36,Adults (35-64),F,United Kingdom,Bristol,Bikes,Mountain Bikes,"Mountain-600 Yellow, 44",2,"$1,290.00","$2,480.00","$2,380","$2,580","$4,960"
261799,27/09/2021,27,September,2021,45,Adults (35-64),M,France,Paris,Bikes,Road Bikes,"Road-300 Silver, 52",4,$840.00,"$1,580.00","$2,960","$3,360","$6,320"
261800,28/09/2021,28,September,2021,31,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Red, 46",1,"$1,140.00","$2,200.00","$1,060","$1,140","$2,200"
261801,29/09/2021,29,September,2021,40,Adults (35-64),M,United States,Illinois,Bikes,Road Bikes,"Road-100 Black, 54",3,$920.00,"$1,750.00","$2,490","$2,760","$5,250"
261802,29/09/2021,29,September,2021,27,Young Adults (25-34),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-400 Green, 42",1,"$1,060.00","$2,000.00",$940,"$1,060","$2,000"
261803,30/09/2021,30,September,2021,48,Adults (35-64),M,United Kingdom,London,Bikes,Road Bikes,"Road-300 Blue, 58",2,$800.00,"$1,600.00","$1,600","$1,600","$3,200"
261804,30/09/2021,30,September,2021,52,Adults (35-64),F,Canada,Ontario,Bikes,Mountain Bikes,"Mountain-700 Yellow, 44",1,"$1,250.00","$2,380.00","$1,130","$1,250","$2,380"
261805,31/09/2021,30,September,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-500 Red, 56",4,$840.00,"$1,750.00","$3,640","$3,360","$7,000"
261806,31/09/2021,30,September,2021,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-300 Black, 42",2,"$1,200.00","$2,250.00","$2,100","$2,400","$4,500"
261807,17/09/2021,17,September,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-100 Red, 38",2,"$1,110.00","$2,200.00","$1,820","$2,220","$4,400"
261808,17/09/2021,17,September,2021,28,Young Adults (25-34),F,Canada,Ontario,Bikes,Road Bikes,"Road-300 Silver, 50",3,$880.00,"$1,580.00","$2,100","$2,640","$4,740"
261809,18/09/2021,18,September,2021,33,Young Adults (25-34),M,United Kingdom,London,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,$420.00,$769.00,$349,$420,$769
261810,19/09/2021,19,September,2021,45,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,$295.00,$540.00,$490,$590,"$1,080"
261811,19/09/2021,20,September,2021,29,Young Adults (25-34),F,Germany,Bavaria,Bikes,Mountain Bikes,"Mountain-600 Red, 42",1,"$1,310.00","$2,350.00","$1,040","$1,310","$2,350"
261812,20/09/2021,20,September,2021,35,Adults (35-64),M,United States,Texas,Bikes,Road Bikes,"Road-200 Black, 48",3,$780.00,"$1,400.00","$1,860","$2,340","$4,200"
261813,21/09/2021,21,September,2021,39,Adults (35-64),F,France,Lyon,Bikes,Mountain Bikes,"Mountain-200 Blue, 44",1,"$1,150.00","$2,150.00","$1,000","$1,150","$2,150"
261814,22/09/2021,22,September,2021,42,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-300 Silver, 52",2,$840.00,"$1,580.00","$1,480","$1,680","$3,160"
261815,22/09/2021,22,September,2021,50,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-700 Yellow, 42",4,"$1,210.00","$2,400.00","$4,760","$4,840","$9,600"
261816,23/09/2021,23,September,2021,32,Young Adults (25-34),M,United Kingdom,Manchester,Bikes,Mountain Bikes,"Mountain-300 Black, 46",2,"$1,260.00","$2,390.00","$2,260","$2,520","$4,780"
261817,24/09/2021,24,September,2021,47,Adults (35-64),M,United States,Florida,Bikes,Road Bikes,"Road-100 Blue, 50",2,$900.00,"$1,700.00","$1,600","$1,800","$3,400"
261818,25/09/2021,25,September,2021,24,Young Adults (18-24),F,Canada,Alberta,Bikes,Mountain Bikes,"Mountain-400 Green, 46",1,"$1,050.00","$1,980.00",$930,"$1,050","$1,980"
261819,25/10/2021,25,October,2021,30,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-300 Red, 58",3,$790.00,"$1,600.00","$2,430","$2,370","$4,800"
261820,26/10/2021,26,October,2021,39,Adults (35-64),F,Germany,Berlin,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,"$1,200.00","$2,300.00","$2,200","$2,400","$4,600"
261821,26/10/2021,26,October,2021,53,Adults (35-64),M,United States,New York,Bikes,Road Bikes,"Road-200 Blue, 60",1,$820.00,"$1,550.00",$730,$820,"$1,550"
